"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
46,3,35,9.596,6379346446,2779346446,3,0.05853793025016785,9.582670211791992,0.5022158622741699
6,4,35,6.778,6379346448,2779346448,-11,0.04064347594976425,6.653345108032227,-1.293303370475769
40,5,36,9.470000000000001,6379346450,2779346450,5,0.05927495285868645,9.433777809143066,0.825364887714386
2,6,37,8.375999999999999,6379346452,2779346452,-9,0.05342354252934456,8.272705078125,-1.310295104980469
20,7,38,9.524000000000001,6379346455,2779346455,7,0.06269427388906479,9.452801704406738,1.160683631896973
22,8,39,9.622,6379346457,2779346457,-7,0.06500618904829025,9.550057411193848,-1.172626852989197
2,9,39,8.24,6379346459,2779346459,9,0.05539693683385849,8.138363838195801,1.28901994228363
31,10,40,9.596,6379346462,2779346462,-5,0.06673724949359894,9.55925178527832,-0.8363465070724487
6,11,41,9.300000000000001,6379346464,2779346464,11,0.06532614678144455,9.128898620605469,1.774523615837097
38,12,42,9.588000000000001,6379346466,2779346466,-3,0.07018676400184631,9.574603080749512,-0.5017971396446228
7,13,43,7.972,6379346469,2779346469,13,0.05829522386193275,7.767459392547607,1.793309807777405
34,14,44,9.566000000000001,6379346471,2779346471,-1,0.07344969362020493,9.564261436462402,-0.1669497191905975
11,15,44,6.982,6379346473,2779346473,15,0.05179041624069214,6.743895053863525,1.807074546813965
6,0,52,4.946,6379346494,2779346494,-15,0.04335834085941315,4.77727222442627,-1.280118942260742
25,1,53,9.56,6379346496,2779346496,1,0.08841761201620102,9.558135032653809,0.1668450087308884
3,2,54,5.708,6379346499,2779346499,-13,0.05241705104708672,5.56145715713501,-1.284020662307739
40,3,55,9.588000000000001,6379346501,2779346501,3,0.09191064536571503,9.574419021606445,0.5017971396446228
6,4,55,6.776,6379346503,2779346503,-11,0.06384889036417007,6.651199340820313,-1.292921781539917
40,5,56,9.476000000000001,6379346505,2779346505,5,0.09226304292678833,9.43949031829834,0.8258877992630005
2,6,57,8.375999999999999,6379346508,2779346508,-9,0.0823003426194191,8.272468566894531,-1.310295104980469
